input1	synset1ID	synset1Cat	synset1Class	synset1Hypernyms	input2	synset2ID	synset2Cat	synset2Class	synset2Hypernyms	SimplePath	LeacockAndChodorow	WuAndPalmer	Resnik	Lin	JiangAndConrath
Mord	20741.0	nomen	Geschehen	[Bluttat]	List	27874.0	nomen	Kognition	[Plan, Planung]	0.57143	0.22629	0.0	0.0	0.0	0.55829
Mord	20741.0	nomen	Geschehen	[Bluttat]	List	27559.0	nomen	Kognition	[Cleverness, Cleverneß, Gewitztheit, Schlauheit, Schläue]	0.51429	0.19343	0.0	0.0	0.0	0.54535
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schleier	109780.0	nomen	natPhaenomen	[Nebel]	0.62857	0.26356	0.31579	0.07994	0.17321	0.61839
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schleier	75867.0	nomen	Artefakt	[Stofftuch, Tuch]	0.54286	0.20938	0.0	0.0	0.0	0.53839
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schreck	16346.0	nomen	Gefuehl	[Angst, Bammel, Bangigkeit, Fracksausen, Furcht, Furchtsamkeit, Muffe, Muffensausen, Schiss]	0.65714	0.28424	0.33333	0.07994	0.18403	0.64554
Mord	20741.0	nomen	Geschehen	[Bluttat]	Flamme	41151.0	nomen	natPhaenomen	[natürliches Phänomen]	0.74286	0.35745	0.4	0.07994	0.18382	0.64504
Mord	20741.0	nomen	Geschehen	[Bluttat]	Flamme	73666.0	nomen	Mensch	[Freund, Freundin]	0.42857	0.15041	0.0	0.0	0.0	0.56288
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schreck	16346.0	nomen	Gefuehl	[Angst, Bammel, Bangigkeit, Fracksausen, Furcht, Furchtsamkeit, Muffe, Muffensausen, Schiss]	0.65714	0.28424	0.33333	0.07994	0.18403	0.64554
Mord	20741.0	nomen	Geschehen	[Bluttat]	Weib	34344.0	nomen	Mensch	[Frau]	0.48571	0.17834	0.0	0.0	0.0	0.556
Mord	20741.0	nomen	Geschehen	[Bluttat]	Gemach	10047.0	nomen	Artefakt	[Zimmer]	0.51429	0.19343	0.0	0.0	0.0	0.50495
Feind					Erf�llung										
Feind					Gewi�heit										
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Wache	19834.0	nomen	Geschehen	[Dienst]	0.45714	0.16402	0.0	0.0	0.0	0.5545
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Wache	22642.0	nomen	Gruppe	[Sicherheitsdienst, Sicherheitstruppe]	0.54286	0.20938	0.2	0.04639	0.10196	0.59143
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Wache	37257.0	nomen	Mensch	[Dienstleister Sonstige]	0.71429	0.33085	0.58333	0.11674	0.27757	0.69617
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Wache	9430.0	nomen	Artefakt	[Amtsgebäude] , [Gendarmerie, Polizei, Polizeibehörde]	0.54286	0.20938	0.2	0.04639	0.10702	0.61295
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Sage	32960.0	nomen	Kommunikation	[Erzählung]	0.37143	0.12502	0.0	0.0	0.0	0.53211
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Blut	26339.0	nomen	Koerper	[Körperflüssigkeit]	0.62857	0.26356	0.23529	0.04639	0.11283	0.63526
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Eid	30829.0	nomen	Kommunikation	[Aussage]	0.51429	0.19343	0.0	0.0	0.0	0.64134
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Vertrauen	16012.0	nomen	Gefuehl	[Gewissheit, Gewißheit, Sicherheit, Überzeugung]	0.4	0.13743	0.0	0.0	0.0	0.58771
Feind					T�r										
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Wut	16107.0	nomen	Gefuehl	[Ärger]	0.37143	0.12502	0.0	0.0	0.0	0.57253
